code_insee,name,tourism,latitude,longitude
69123,Vers une agriculture raisonnée,information,45.6791691,4.8762691
69123,N/A,information,45.6833885,4.87557
69123,Quartier Les Géraniums,information,45.6660433,4.8640674
69123,Laes alliés des agriculteurs,information,45.6620881,4.8777064
69123,N/A,information,45.6599853,4.8696584
69123,Maisons des fleurs,information,45.7232924,4.8244705
69123,Entrée Croix-Luizet,information,45.7840632,4.8844307
69123,Nécropole Nationale de La Doua,information,45.7859641,4.887068
69123,Nécropole Nationale de La Doua,information,45.7844804,4.8864873
69123,Zone de loisirs,information,45.7965863,4.8780355
69123,Chemin Nature de Fontaine-Sur-Saône,information,45.8348444,4.8512257
69123,Chemin Nature de Fontaine-Sur-Saône,information,45.8375391,4.8517109
69123,N/A,viewpoint,45.7757109,4.8374573
69123,Gorgerat,information,45.8266103,4.8219389
69123,Cinq Cercles,artwork,45.7832655,4.7680946
69123,Statue de Marie,artwork,45.7370933,4.8054012
69123,Les Bateaux Lyonnais,attraction,45.7609435,4.8307512
69123,"Bienvenue au jardin Roquette, Un jardin expérimental",information,45.7764157,4.8073983
69123,Atelier Mattelon,museum,45.7801248,4.8353898
69123,Villa et Jardin Bagatelle,attraction,45.6661314,4.8262489
69123,Maison d'Anthouard,hotel,45.7801305,4.7790581
69123,Maison Natale du Curé d'Ars,museum,45.804587,4.7534242
69123,N/A,viewpoint,45.6956699,4.8533164
69123,N/A,viewpoint,45.6924344,4.8531092
69123,N/A,viewpoint,45.8097459,4.8978602
69123,N/A,viewpoint,45.8186012,4.930086
69123,N/A,viewpoint,45.7686534,4.8211368
69123,Hôtel Berlioz,hotel,45.7473421,4.824543
69123,N/A,viewpoint,45.7603351,4.8195517
69123,N/A,viewpoint,45.695618,4.8405363
69123,N/A,viewpoint,45.6900535,4.7815645
69123,N/A,viewpoint,45.6949578,4.7838521
69123,Made in Gold,gallery,45.7515869,4.8294779
69123,N/A,viewpoint,45.789857,4.8548206
69123,N/A,viewpoint,45.7949964,4.8741895
69123,N/A,information,45.814466,4.8197965
69123,N/A,information,45.8146183,4.8187179
69123,N/A,information,45.8158511,4.8184624
69123,N/A,picnic_site,45.759416,4.8031791
69123,Relais de Montchat,guest_house,45.7483219,4.8832311
69123,Appartement des subsistances,apartment,45.7680766,4.8190664
69123,Sadi Carnot,artwork,45.7607742,4.8414081
69123,N/A,artwork,45.7832165,4.7657436
69123,Le grand Coq,artwork,45.7349181,4.872754
69123,Cayenne de Lyon,artwork,45.7351021,4.8729497
69123,Parcours santé,information,45.7711092,4.9253818
69123,Kalos-Sthénos,artwork,45.6936775,4.9340688
69123,Parcours de santé,information,45.6937778,4.9342108
69123,Parc des sports,information,45.8356192,4.7756517
69123,Les Alagneraies,information,45.8578846,4.7887911
69123,N/A,picnic_site,45.8426261,4.7429187
69123,N/A,picnic_site,45.8392762,4.735719
69123,Ruisseau de Serres,information,45.8086943,4.7624217
69123,InterContinental Lyon - Hotel Dieu,hotel,45.7588583,4.8369033
69123,Dassault Super Mystère B2,attraction,45.8503899,4.7876931
